央视（线路1）,#genre#
CCTV5,http://api.52tb.xyz/info?id=57&token=20230129ygoden
CCTV5+,http://api.52tb.xyz/info?id=58&token=20230129ygoden
CCTV6,http://api.52tb.xyz/info?id=59&token=20230129ygoden
CCTV7,http://api.52tb.xyz/info?id=60&token=20230129ygoden
CCTV8,http://api.52tb.xyz/info?id=61&token=20230129ygoden
CCTV9,http://api.52tb.xyz/info?id=62&token=20230129ygoden
CCTV10,http://api.52tb.xyz/info?id=63&token=20230129ygoden
CCTV11,http://api.52tb.xyz/info?id=64&token=20230129ygoden
CCTV12,http://api.52tb.xyz/info?id=65&token=20230129ygoden
CCTV13,http://api.52tb.xyz/info?id=66&token=20230129ygoden
CCTV14,http://api.52tb.xyz/info?id=67&token=20230129ygoden
CCTV15,http://api.52tb.xyz/info?id=68&token=20230129ygoden
CCTV16,http://api.52tb.xyz/info?id=69&token=20230129ygoden
CCTV17,http://api.52tb.xyz/info?id=70&token=20230129ygoden
卫视（线路2）,#genre#
湖南卫视,http://api.52tb.xyz/info?id=72&token=20230129ygoden
浙江卫视,http://api.52tb.xyz/info?id=73&token=20230129ygoden
江苏卫视,http://api.52tb.xyz/info?id=74&token=20230129ygoden
东方卫视,http://api.52tb.xyz/info?id=75&token=20230129ygoden
北京卫视,http://api.52tb.xyz/info?id=76&token=20230129ygoden
天津卫视,http://api.52tb.xyz/info?id=77&token=20230129ygoden
广东卫视,http://api.52tb.xyz/info?id=78&token=20230129ygoden
深圳卫视,http://api.52tb.xyz/info?id=79&token=20230129ygoden
东南卫视,http://api.52tb.xyz/info?id=80&token=20230129ygoden
山东卫视,http://api.52tb.xyz/info?id=81&token=20230129ygoden
河南卫视,http://api.52tb.xyz/info?id=82&token=20230129ygoden
河北卫视,http://api.52tb.xyz/info?id=83&token=20230129ygoden
安徽卫视,http://api.52tb.xyz/info?id=84&token=20230129ygoden
湖北卫视,http://api.52tb.xyz/info?id=85&token=20230129ygoden
江西卫视,http://api.52tb.xyz/info?id=86&token=20230129ygoden
贵州卫视,http://api.52tb.xyz/info?id=87&token=20230129ygoden
重庆卫视,http://api.52tb.xyz/info?id=88&token=20230129ygoden
海南卫视,http://api.52tb.xyz/info?id=89&token=20230129ygoden
四川卫视,http://api.52tb.xyz/info?id=90&token=20230129ygoden
吉林卫视,http://api.52tb.xyz/info?id=91&token=20230129ygoden
黑龙江卫视,http://api.52tb.xyz/info?id=92&token=20230129ygoden
云南卫视,http://api.52tb.xyz/info?id=93&token=20230129ygoden
辽宁卫视,http://api.52tb.xyz/info?id=94&token=20230129ygoden
内蒙古卫视,http://api.52tb.xyz/info?id=95&token=20230129ygoden
广西卫视,http://api.52tb.xyz/info?id=96&token=20230129ygoden
甘肃卫视,http://api.52tb.xyz/info?id=97&token=20230129ygoden
陕西卫视,http://api.52tb.xyz/info?id=98&token=20230129ygoden
山西卫视,http://api.52tb.xyz/info?id=99&token=20230129ygoden
宁夏卫视,http://api.52tb.xyz/info?id=100&token=20230129ygoden
青海卫视,http://api.52tb.xyz/info?id=101&token=20230129ygoden
新疆卫视,http://api.52tb.xyz/info?id=102&token=20230129ygoden
西藏卫视,http://api.52tb.xyz/info?id=103&token=20230129ygoden
央视（线路3）,#genre#
CCTV1,http://api.52tb.xyz/info?id=104&token=20230129ygoden
CCTV2,http://api.52tb.xyz/info?id=105&token=20230129ygoden
CCTV3,http://api.52tb.xyz/info?id=106&token=20230129ygoden
CCTV4,http://api.52tb.xyz/info?id=107&token=20230129ygoden
CCTV5,http://api.52tb.xyz/info?id=108&token=20230129ygoden
CCTV5+,http://api.52tb.xyz/info?id=109&token=20230129ygoden
CCTV6,http://api.52tb.xyz/info?id=110&token=20230129ygoden
CCTV7,http://api.52tb.xyz/info?id=111&token=20230129ygoden
CCTV8,http://api.52tb.xyz/info?id=112&token=20230129ygoden
CCTV9,http://api.52tb.xyz/info?id=113&token=20230129ygoden
CCTV10,http://api.52tb.xyz/info?id=114&token=20230129ygoden
CCTV11,http://api.52tb.xyz/info?id=115&token=20230129ygoden
CCTV12,http://api.52tb.xyz/info?id=116&token=20230129ygoden
CCTV13,http://api.52tb.xyz/info?id=117&token=20230129ygoden
CCTV14,http://api.52tb.xyz/info?id=118&token=20230129ygoden
CCTV15,http://api.52tb.xyz/info?id=119&token=20230129ygoden
CCTV16,http://api.52tb.xyz/info?id=120&token=20230129ygoden
CCTV17,http://api.52tb.xyz/info?id=121&token=20230129ygoden
卫视（线路3）,#genre#
湖南卫视,http://api.52tb.xyz/info?id=123&token=20230129ygoden
浙江卫视,http://api.52tb.xyz/info?id=124&token=20230129ygoden
江苏卫视,http://api.52tb.xyz/info?id=125&token=20230129ygoden
东方卫视,http://api.52tb.xyz/info?id=126&token=20230129ygoden
北京卫视,http://api.52tb.xyz/info?id=127&token=20230129ygoden
天津卫视,http://api.52tb.xyz/info?id=128&token=20230129ygoden
广东卫视,http://api.52tb.xyz/info?id=129&token=20230129ygoden
深圳卫视,http://api.52tb.xyz/info?id=130&token=20230129ygoden
东南卫视,http://api.52tb.xyz/info?id=131&token=20230129ygoden
山东卫视,http://api.52tb.xyz/info?id=132&token=20230129ygoden
河南卫视,http://api.52tb.xyz/info?id=133&token=20230129ygoden
河北卫视,http://api.52tb.xyz/info?id=134&token=20230129ygoden
安徽卫视,http://api.52tb.xyz/info?id=135&token=20230129ygoden
湖北卫视,http://api.52tb.xyz/info?id=136&token=20230129ygoden
江西卫视,http://api.52tb.xyz/info?id=137&token=20230129ygoden
贵州卫视,http://api.52tb.xyz/info?id=138&token=20230129ygoden
重庆卫视,http://api.52tb.xyz/info?id=139&token=20230129ygoden
海南卫视,http://api.52tb.xyz/info?id=140&token=20230129ygoden
四川卫视,http://api.52tb.xyz/info?id=141&token=20230129ygoden
吉林卫视,http://api.52tb.xyz/info?id=142&token=20230129ygoden
黑龙江卫视,http://api.52tb.xyz/info?id=143&token=20230129ygoden
云南卫视,http://api.52tb.xyz/info?id=144&token=20230129ygoden
辽宁卫视,http://api.52tb.xyz/info?id=145&token=20230129ygoden
内蒙古卫视,http://api.52tb.xyz/info?id=146&token=20230129ygoden
广西卫视,http://api.52tb.xyz/info?id=147&token=20230129ygoden
甘肃卫视,http://api.52tb.xyz/info?id=148&token=20230129ygoden
陕西卫视,http://api.52tb.xyz/info?id=149&token=20230129ygoden
山西卫视,http://api.52tb.xyz/info?id=150&token=20230129ygoden
宁夏卫视,http://api.52tb.xyz/info?id=151&token=20230129ygoden
青海卫视,http://api.52tb.xyz/info?id=152&token=20230129ygoden
新疆卫视,http://api.52tb.xyz/info?id=153&token=20230129ygoden
西藏卫视,http://api.52tb.xyz/info?id=154&token=20230129ygoden
上海频道,#genre#
上海新闻频道,http://api.52tb.xyz/info?id=371&token=20230129ygoden
上海都市频道,http://api.52tb.xyz/info?id=372&token=20230129ygoden
上视外语,http://api.52tb.xyz/info?id=373&token=20230129ygoden
上海东方影视,http://api.52tb.xyz/info?id=374&token=20230129ygoden
上海五星体育,http://api.52tb.xyz/info?id=375&token=20230129ygoden
上海五星体育（备1）,http://api.52tb.xyz/info?id=376&token=20230129ygoden
上海第一财经,http://api.52tb.xyz/info?id=377&token=20230129ygoden
上海纪实人文,http://api.52tb.xyz/info?id=378&token=20230129ygoden
百事通,#genre#
哈哈炫动,http://api.52tb.xyz/info?id=379&token=20230129ygoden
百视通1,http://api.52tb.xyz/info?id=380&token=20230129ygoden
百视通2,http://api.52tb.xyz/info?id=381&token=20230129ygoden
百视通3,http://api.52tb.xyz/info?id=382&token=20230129ygoden
百视通4,http://api.52tb.xyz/info?id=383&token=20230129ygoden
百视通5,http://api.52tb.xyz/info?id=384&token=20230129ygoden
百视通6,http://api.52tb.xyz/info?id=385&token=20230129ygoden
百视通7,http://api.52tb.xyz/info?id=386&token=20230129ygoden
百视通8,http://api.52tb.xyz/info?id=387&token=20230129ygoden
百视通9,http://api.52tb.xyz/info?id=388&token=20230129ygoden
百视通10,http://api.52tb.xyz/info?id=389&token=20230129ygoden
广东频道,#genre#
广东综艺,http://api.52tb.xyz/info?id=401&token=20230129ygoden
广东综艺（备）,http://api.52tb.xyz/info?id=402&token=20230129ygoden
广东综艺[限广东联通],http://api.52tb.xyz/info?id=2001&token=20230129ygoden
广东综艺[限广东电信],http://api.52tb.xyz/info?id=2002&token=20230129ygoden
广东新闻,http://api.52tb.xyz/info?id=403&token=20230129ygoden
广东新闻（备）,http://api.52tb.xyz/info?id=404&token=20230129ygoden
广东影视,http://api.52tb.xyz/info?id=405&token=20230129ygoden
广东影视（备）,http://api.52tb.xyz/info?id=406&token=20230129ygoden
广东公共,http://api.52tb.xyz/info?id=407&token=20230129ygoden
广东公共（备）,http://api.52tb.xyz/info?id=408&token=20230129ygoden
广东珠江,http://api.52tb.xyz/info?id=409&token=20230129ygoden
广东珠江（备）,http://api.52tb.xyz/info?id=410&token=20230129ygoden
广东珠江[限广东联通],http://api.52tb.xyz/info?id=2003&token=20230129ygoden
广东珠江[限广东电信],http://api.52tb.xyz/info?id=2004&token=20230129ygoden
大湾区卫视,http://api.52tb.xyz/info?id=411&token=20230129ygoden
大湾区卫视（备）,http://api.52tb.xyz/info?id=412&token=20230129ygoden
广东体育1,http://api.52tb.xyz/info?id=413&token=20230129ygoden
广东体育2,http://api.52tb.xyz/info?id=414&token=20230129ygoden
广东体育[限广东联通],http://api.52tb.xyz/info?id=415&token=20230129ygoden
南国都市,http://api.52tb.xyz/info?id=419&token=20230129ygoden
深圳都市,http://api.52tb.xyz/info?id=420&token=20230129ygoden
福州综合,http://api.52tb.xyz/info?id=421&token=20230129ygoden
福州生活,http://api.52tb.xyz/info?id=422&token=20230129ygoden
福州少儿,http://api.52tb.xyz/info?id=423&token=20230129ygoden
浙江频道,#genre#
浙江民生休闲,http://api.52tb.xyz/info?id=431&token=20230129ygoden
浙江教科频道,http://api.52tb.xyz/info?id=432&token=20230129ygoden
浙江少儿频道,http://api.52tb.xyz/info?id=433&token=20230129ygoden
浙江新闻,http://api.52tb.xyz/info?id=434&token=20230129ygoden
浙江国际频道,http://api.52tb.xyz/info?id=435&token=20230129ygoden
浙江钱江都市,http://api.52tb.xyz/info?id=436&token=20230129ygoden
浙江经视频道,http://api.52tb.xyz/info?id=437&token=20230129ygoden
留学世界,http://api.52tb.xyz/info?id=438&token=20230129ygoden
新昌新闻综合,http://api.52tb.xyz/info?id=439&token=20230129ygoden
新昌生活频道,http://api.52tb.xyz/info?id=440&token=20230129ygoden
江苏频道,#genre#
江苏城市,http://api.52tb.xyz/info?id=451&token=20230129ygoden
江苏综艺,http://api.52tb.xyz/info?id=452&token=20230129ygoden
江苏影视,http://api.52tb.xyz/info?id=453&token=20230129ygoden
江苏公共,http://api.52tb.xyz/info?id=454&token=20230129ygoden
江苏体育,http://api.52tb.xyz/info?id=455&token=20230129ygoden
江苏靓装,http://api.52tb.xyz/info?id=456&token=20230129ygoden
江苏国际,http://api.52tb.xyz/info?id=457&token=20230129ygoden
江苏学习,http://api.52tb.xyz/info?id=458&token=20230129ygoden
江苏教育,http://api.52tb.xyz/info?id=459&token=20230129ygoden
优曼卡通,http://api.52tb.xyz/info?id=460&token=20230129ygoden
苏州新闻综合,http://api.52tb.xyz/info?id=461&token=20230129ygoden
苏州社会经济,http://api.52tb.xyz/info?id=462&token=20230129ygoden
苏州文化生活,http://api.52tb.xyz/info?id=463&token=20230129ygoden
苏州电影娱乐,http://api.52tb.xyz/info?id=464&token=20230129ygoden
苏州生活资讯,http://api.52tb.xyz/info?id=465&token=20230129ygoden
南京新闻综合,http://api.52tb.xyz/info?id=466&token=20230129ygoden
南京教科,http://api.52tb.xyz/info?id=467&token=20230129ygoden
南京生活,http://api.52tb.xyz/info?id=468&token=20230129ygoden
南京娱乐,http://api.52tb.xyz/info?id=469&token=20230129ygoden
南京十八,http://api.52tb.xyz/info?id=470&token=20230129ygoden
南京信息,http://api.52tb.xyz/info?id=471&token=20230129ygoden
河北频道,#genre#
河北都市,http://api.52tb.xyz/info?id=481&token=20230129ygoden
河北经济,http://api.52tb.xyz/info?id=482&token=20230129ygoden
河北影视,http://api.52tb.xyz/info?id=483&token=20230129ygoden
河北少儿,http://api.52tb.xyz/info?id=484&token=20230129ygoden
河北公共,http://api.52tb.xyz/info?id=485&token=20230129ygoden
农民频道,http://api.52tb.xyz/info?id=486&token=20230129ygoden
石家庄新闻,http://api.52tb.xyz/info?id=487&token=20230129ygoden
石家庄娱乐,http://api.52tb.xyz/info?id=488&token=20230129ygoden
石家庄生活,http://api.52tb.xyz/info?id=489&token=20230129ygoden
石家庄都市,http://api.52tb.xyz/info?id=490&token=20230129ygoden
河南频道,#genre#
河南新闻,http://api.52tb.xyz/info?id=501&token=20230129ygoden
河南都市,http://api.52tb.xyz/info?id=502&token=20230129ygoden
河南民生,http://api.52tb.xyz/info?id=503&token=20230129ygoden
河南公共,http://api.52tb.xyz/info?id=504&token=20230129ygoden
河南法治,http://api.52tb.xyz/info?id=505&token=20230129ygoden
河南乡村,http://api.52tb.xyz/info?id=506&token=20230129ygoden
河南国际,http://api.52tb.xyz/info?id=507&token=20230129ygoden
河南电视剧,http://api.52tb.xyz/info?id=508&token=20230129ygoden
山东频道,#genre#
山东齐鲁,http://api.52tb.xyz/info?id=521&token=20230129ygoden
山东新闻,http://api.52tb.xyz/info?id=522&token=20230129ygoden
山东体育,http://api.52tb.xyz/info?id=523&token=20230129ygoden
山东少儿,http://api.52tb.xyz/info?id=524&token=20230129ygoden
山东综艺,http://api.52tb.xyz/info?id=525&token=20230129ygoden
山东文旅,http://api.52tb.xyz/info?id=526&token=20230129ygoden
山东生活,http://api.52tb.xyz/info?id=527&token=20230129ygoden
山东农科,http://api.52tb.xyz/info?id=528&token=20230129ygoden
湖北频道,#genre#
湖北经视,http://api.52tb.xyz/info?id=541&token=20230129ygoden
湖北综合,http://api.52tb.xyz/info?id=542&token=20230129ygoden
湖北公共,http://api.52tb.xyz/info?id=543&token=20230129ygoden
湖北生活,http://api.52tb.xyz/info?id=544&token=20230129ygoden
湖北教育,http://api.52tb.xyz/info?id=545&token=20230129ygoden
湖北垄上,http://api.52tb.xyz/info?id=546&token=20230129ygoden
湖南公共,http://api.52tb.xyz/info?id=561&token=20230129ygoden
湖南国际,http://api.52tb.xyz/info?id=562&token=20230129ygoden
湖南娱乐,http://api.52tb.xyz/info?id=563&token=20230129ygoden
湖南电影,http://api.52tb.xyz/info?id=564&token=20230129ygoden
湖南电视剧,http://api.52tb.xyz/info?id=565&token=20230129ygoden
湖南经视,http://api.52tb.xyz/info?id=566&token=20230129ygoden
湖南都市,http://api.52tb.xyz/info?id=567&token=20230129ygoden
金鹰卡通,http://api.52tb.xyz/info?id=568&token=20230129ygoden
金鹰纪实,http://api.52tb.xyz/info?id=569&token=20230129ygoden
湘潭综合,http://api.52tb.xyz/info?id=570&token=20230129ygoden
湘潭教育,http://api.52tb.xyz/info?id=571&token=20230129ygoden
娄底综合频道,http://api.52tb.xyz/info?id=572&token=20230129ygoden
安徽频道,#genre#
安徽经济,http://api.52tb.xyz/info?id=581&token=20230129ygoden
安徽公共,http://api.52tb.xyz/info?id=582&token=20230129ygoden
安徽农科,http://api.52tb.xyz/info?id=583&token=20230129ygoden
安徽影视,http://api.52tb.xyz/info?id=584&token=20230129ygoden
安徽综艺,http://api.52tb.xyz/info?id=585&token=20230129ygoden
安徽国际,http://api.52tb.xyz/info?id=586&token=20230129ygoden
淮南新闻综合,http://api.52tb.xyz/info?id=587&token=20230129ygoden
淮南公共台,http://api.52tb.xyz/info?id=588&token=20230129ygoden
东至综合台,http://api.52tb.xyz/info?id=589&token=20230129ygoden
东至影视台,http://api.52tb.xyz/info?id=590&token=20230129ygoden
四川频道,#genre#
四川影视,http://api.52tb.xyz/info?id=601&token=20230129ygoden
四川新闻,http://api.52tb.xyz/info?id=602&token=20230129ygoden
四川文旅,http://api.52tb.xyz/info?id=603&token=20230129ygoden
四川儿童,http://api.52tb.xyz/info?id=604&token=20230129ygoden
四川经济,http://api.52tb.xyz/info?id=605&token=20230129ygoden
四川乡村,http://api.52tb.xyz/info?id=606&token=20230129ygoden
洪雅新闻综合,http://api.52tb.xyz/info?id=607&token=20230129ygoden
重庆新闻,http://api.52tb.xyz/info?id=611&token=20230129ygoden
重庆科教,http://api.52tb.xyz/info?id=612&token=20230129ygoden
重庆影视,http://api.52tb.xyz/info?id=613&token=20230129ygoden
重庆文体,http://api.52tb.xyz/info?id=614&token=20230129ygoden
重庆少儿,http://api.52tb.xyz/info?id=615&token=20230129ygoden
重庆农村,http://api.52tb.xyz/info?id=616&token=20230129ygoden
重庆时尚,http://api.52tb.xyz/info?id=617&token=20230129ygoden
重庆移动,http://api.52tb.xyz/info?id=618&token=20230129ygoden
山西频道,#genre#
西安新闻,http://api.52tb.xyz/info?id=621&token=20230129ygoden
西安都市,http://api.52tb.xyz/info?id=622&token=20230129ygoden
西安影视,http://api.52tb.xyz/info?id=623&token=20230129ygoden
西安丝路,http://api.52tb.xyz/info?id=624&token=20230129ygoden
山西影视,http://api.52tb.xyz/info?id=641&token=20230129ygoden
山西法治,http://api.52tb.xyz/info?id=642&token=20230129ygoden
山西经济,http://api.52tb.xyz/info?id=643&token=20230129ygoden
山西文体,http://api.52tb.xyz/info?id=644&token=20230129ygoden
黄河电视台,http://api.52tb.xyz/info?id=645&token=20230129ygoden
甘肃频道,#genre#
甘肃经济,http://api.52tb.xyz/info?id=661&token=20230129ygoden
甘肃影视,http://api.52tb.xyz/info?id=662&token=20230129ygoden
甘肃公共,http://api.52tb.xyz/info?id=663&token=20230129ygoden
甘肃少儿,http://api.52tb.xyz/info?id=664&token=20230129ygoden
甘肃都市,http://api.52tb.xyz/info?id=665&token=20230129ygoden
天水综合,http://api.52tb.xyz/info?id=666&token=20230129ygoden
天水公共,http://api.52tb.xyz/info?id=667&token=20230129ygoden
云南频道,#genre#
昆明新闻综合,http://api.52tb.xyz/info?id=681&token=20230129ygoden
昆明经济生活,http://api.52tb.xyz/info?id=682&token=20230129ygoden
昆明科学教育,http://api.52tb.xyz/info?id=683&token=20230129ygoden
昆明影视综艺,http://api.52tb.xyz/info?id=684&token=20230129ygoden
昆明公共,http://api.52tb.xyz/info?id=685&token=20230129ygoden
文山综合,http://api.52tb.xyz/info?id=686&token=20230129ygoden
文山公共,http://api.52tb.xyz/info?id=687&token=20230129ygoden
西双版纳一,http://api.52tb.xyz/info?id=688&token=20230129ygoden
西双版纳二,http://api.52tb.xyz/info?id=689&token=20230129ygoden
贵州频道,#genre#
贵州公共,http://api.52tb.xyz/info?id=701&token=20230129ygoden
贵州影视,http://api.52tb.xyz/info?id=702&token=20230129ygoden
贵州生活,http://api.52tb.xyz/info?id=703&token=20230129ygoden
贵州法治,http://api.52tb.xyz/info?id=704&token=20230129ygoden
贵州科教,http://api.52tb.xyz/info?id=705&token=20230129ygoden
贵州经济,http://api.52tb.xyz/info?id=706&token=20230129ygoden
贵州移动,http://api.52tb.xyz/info?id=707&token=20230129ygoden
南宁综合,http://api.52tb.xyz/info?id=721&token=20230129ygoden
南宁都市,http://api.52tb.xyz/info?id=722&token=20230129ygoden
南宁影视,http://api.52tb.xyz/info?id=723&token=20230129ygoden
南宁公共,http://api.52tb.xyz/info?id=724&token=20230129ygoden
宁夏频道,#genre#
宁夏公共,http://api.52tb.xyz/info?id=741&token=20230129ygoden
宁夏经济,http://api.52tb.xyz/info?id=742&token=20230129ygoden
宁夏文旅,http://api.52tb.xyz/info?id=743&token=20230129ygoden
宁夏少儿,http://api.52tb.xyz/info?id=744&token=20230129ygoden
黑龙江频道,#genre#
黑龙江新闻法治,http://api.52tb.xyz/info?id=761&token=20230129ygoden
黑龙江公共农业,http://api.52tb.xyz/info?id=762&token=20230129ygoden
黑龙江都市频道,http://api.52tb.xyz/info?id=763&token=20230129ygoden
黑龙江文体频道,http://api.52tb.xyz/info?id=764&token=20230129ygoden
黑龙江影视频道,http://api.52tb.xyz/info?id=765&token=20230129ygoden
黑龙江少儿频道,http://api.52tb.xyz/info?id=766&token=20230129ygoden
哈尔滨新闻综合,http://api.52tb.xyz/info?id=767&token=20230129ygoden
内蒙古频道,#genre#
内蒙新闻,http://api.52tb.xyz/info?id=781&token=20230129ygoden
蒙古语文化,http://api.52tb.xyz/info?id=782&token=20230129ygoden
蒙古语卫视,http://api.52tb.xyz/info?id=783&token=20230129ygoden
内蒙少儿,http://api.52tb.xyz/info?id=784&token=20230129ygoden
内蒙文体,http://api.52tb.xyz/info?id=785&token=20230129ygoden
农牧频道,http://api.52tb.xyz/info?id=886&token=20230129ygoden
内蒙生活,http://api.52tb.xyz/info?id=787&token=20230129ygoden
乌兰察布新闻综合,http://api.52tb.xyz/info?id=788&token=20230129ygoden
乌兰察布经济生活,http://api.52tb.xyz/info?id=789&token=20230129ygoden
乌兰察布生活频道,http://api.52tb.xyz/info?id=790&token=20230129ygoden
iHOT,#genre#
iHOT爱电竞,http://api.52tb.xyz/info?id=185&token=20230129ygoden
iHOT爱院线,http://api.52tb.xyz/info?id=186&token=20230129ygoden
iHOT爱科幻,http://api.52tb.xyz/info?id=187&token=20230129ygoden
iHOT爱浪漫,http://api.52tb.xyz/info?id=188&token=20230129ygoden
iHOT爱喜剧,http://api.52tb.xyz/info?id=189&token=20230129ygoden
iHOT爱娱乐,http://api.52tb.xyz/info?id=190&token=20230129ygoden
iHOT爱悬疑,http://api.52tb.xyz/info?id=191&token=20230129ygoden
iHOT爱经典,http://api.52tb.xyz/info?id=192&token=20230129ygoden
iHOT爱江湖,http://api.52tb.xyz/info?id=193&token=20230129ygoden
iHOT爱赛车,http://api.52tb.xyz/info?id=194&token=20230129ygoden
iHOT爱体育,http://api.52tb.xyz/info?id=195&token=20230129ygoden
iHOT爱探索,http://api.52tb.xyz/info?id=196&token=20230129ygoden
iHOT爱奇谈,http://api.52tb.xyz/info?id=197&token=20230129ygoden
iHOT爱玩具,http://api.52tb.xyz/info?id=198&token=20230129ygoden
iHOT爱世界,http://api.52tb.xyz/info?id=199&token=20230129ygoden
iHOT爱怀旧,http://api.52tb.xyz/info?id=200&token=20230129ygoden
iHOT爱旅行,http://api.52tb.xyz/info?id=201&token=20230129ygoden
iHOT爱极限,http://api.52tb.xyz/info?id=202&token=20230129ygoden
iHOT爱幼教,http://api.52tb.xyz/info?id=203&token=20230129ygoden
iHOT爱解密,http://api.52tb.xyz/info?id=204&token=20230129ygoden
iHOT爱谍战,http://api.52tb.xyz/info?id=205&token=20230129ygoden
iHOT爱历史,http://api.52tb.xyz/info?id=206&token=20230129ygoden
iHOT爱猎奇,http://api.52tb.xyz/info?id=207&token=20230129ygoden
iHOT爱都市,http://api.52tb.xyz/info?id=208&token=20230129ygoden
iHOT爱科学,http://api.52tb.xyz/info?id=209&token=20230129ygoden
iHOT爱美食,http://api.52tb.xyz/info?id=210&token=20230129ygoden
iHOT爱时尚,http://api.52tb.xyz/info?id=211&token=20230129ygoden
iHOT爱青春,http://api.52tb.xyz/info?id=212&token=20230129ygoden
iHOT爱家庭,http://api.52tb.xyz/info?id=213&token=20230129ygoden
iHOT爱动漫,http://api.52tb.xyz/info?id=214&token=20230129ygoden
SiTV&CHC,#genre#
快乐垂钓,http://api.52tb.xyz/info?id=215&token=20230129ygoden
四海钓鱼,http://api.52tb.xyz/info?id=216&token=20230129ygoden
书画频道,http://api.52tb.xyz/info?id=217&token=20230129ygoden
高尔夫,http://api.52tb.xyz/info?id=218&token=20230129ygoden
CHC动作电影,http://api.52tb.xyz/info?id=219&token=20230129ygoden
CHC家庭影院,http://api.52tb.xyz/info?id=220&token=20230129ygoden
CHC高清电影,http://api.52tb.xyz/info?id=221&token=20230129ygoden
SiTV游戏风云,http://api.52tb.xyz/info?id=222&token=20230129ygoden
SiTV劲爆体育,http://api.52tb.xyz/info?id=223&token=20230129ygoden
SiTV新视觉,http://api.52tb.xyz/info?id=224&token=20230129ygoden
